"source","target","value"
"Vesilahti","Akaa",1
"Vesilahti","Forssa",1
"Vesilahti","Kihniö",3
"Vesilahti","Kouvola",1
"Vesilahti","Lempäälä",9
"Vesilahti","Nokia",1
"Vesilahti","Tampere",5
"Vesilahti","Vaasa",1
"Kangasala","Vesilahti",2
"Lempäälä","Vesilahti",12
"Nokia","Vesilahti",1
"Oulu","Vesilahti",1
"Tampere","Vesilahti",2
"Urjala","Vesilahti",1
"Ylöjärvi","Vesilahti",1
